username,chessTitle,countryName,averageElo
MagnusCarlsen,GM,Norway,3253
Hikaru,GM,United States,3218
nihalsarin,GM,Tanzania,3132
DanielNaroditsky,GM,United States,3129
LyonBeast,GM,France,3112
Sibelephant,GM,Russia,3105
Firouzja2003,GM,France,3098
GMWSO,GM,United States,3098
lachesisQ,GM,Russia,3092
chesspanda123,GM,China,3085
GHANDEEVAM2003,GM,India,3071
LevonAronian,GM,United States,3069
FabianoCaruana,GM,United States,3067
FairChess_on_YouTube,GM,International,3064
Azzaro25,GM,The Gambia,3063
Konavets,GM,United States,3061
Polish_fighter3000,GM,Poland,3059
LiemLe,GM,Vietnam,3057
Bigfish1995,GM,Slovenia,3055
Baku_Boulevard,GM,Ukraine,3052
LOVEVAE,GM,China,3050
Duhless,GM,Russia,3046
mishanick,GM,Serbia,3036
Jospem,GM,Mexico,3033
ChessWarrior7197,GM,Uzbekistan,3031
NotYetFinish,GM,Iceland,3030
Azerichess,GM,Azerbaijan,3028
Grischuk,GM,Russia,3026
HansOnTwitch,GM,United States,3026
DenLaz,GM,Belarus,3026
Oleksandr_Bortnyk,GM,United States,3025
viditchess,GM,India,3020
NikoTheodorou,GM,Greece,3019
Msb2,GM,Germany,3018
RaunakSadhwani2005,GM,India,3014
TRadjabov,GM,Azerbaijan,3013
dropstoneDP,GM,Russia,3013
GMharikrishna,GM,India,3012
wonderfultime,GM,Vietnam,3011
BogdanDeac,GM,Romania,3007
exoticprincess,GM,Georgia,2999
GOGIEFF,GM,Ukraine,2998
vi_pranav,GM,India,2996
Njal28,GM,Armenia,2994
rednova1729,GM,United States,2994
champ2005,GM,India,2993
GM_dmitrij,GM,Germany,2992
amintabatabaei,GM,Iran,2992
artooon,GM,International,2990
spicycaterpillar,GM,United States,2986
rhinobritos,GM,American Samoa,2986
SPEEDSKATER,GM,United States,2986
Sargsyan_Shant,GM,Armenia,2985
Salem-AR,GM,United Arab Emirates,2984
AntonSmirnov,GM,Australia,2981
jefferyx,GM,United States,2980
OparinGrigoriy,GM,United States,2979
BillieKimbah,GM,Russia,2979
Parhamov,GM,Iran,2978
Indianlad,GM,India,2976
Zhuu96,GM,Russia,2976
fireheart92,GM,India,2975
Andreikka,GM,Russia,2975
xxysoul6,GM,China,2973
0gZPanda,IM,United States,2971
BrandonJacobson,GM,Portugal,2970
joppie2,GM,Netherlands,2968
SpeedofLight0,GM,United States,2968
howitzer14,GM,England,2967
Krakozia,GM,Russia,2967
garcho08,GM,Indonesia,2967
Mykola-Bortnyk,IM,United States,2966
rasmussvane,GM,Germany,2965
rpragchess,GM,India,2962
VincentKeymer,GM,Germany,2962
aquarium76,GM,Uzbekistan,2961
GMVallejo,GM,Spain,2961
