username,players_played_count,blockedby_count,was_blocked_to_played_player_ratio
stollenmonster,490,22,0.04489795918
Orest_Vovk,643,18,0.02799377916
vi_pranav,470,17,0.03617021277
Witik,665,16,0.02406015038
Rud_Makarian,536,15,0.02798507463
GoltsevDmitry2000,667,14,0.02098950525
Schattman,519,14,0.02697495183
alexrustemov,734,13,0.01771117166
guillembaches,659,13,0.01972685888
Jospem,626,13,0.02076677316
Chessmissile07,414,13,0.03140096618
bazar-wokzal,905,12,0.01325966851
TigrVShlyape,751,12,0.01597869507
VALPARAISO37,347,12,0.03458213256
BeanScreen,481,11,0.02286902287
German_Bazeev,255,11,0.0431372549
Alexei_Gubajdullin,594,10,0.01683501684
Andrei_Skvortsov,477,10,0.02096436059
Arystanner,413,10,0.02421307506
jraosam,239,10,0.04184100418
biostatistician,526,9,0.01711026616
Korchmar_Vasiliy,751,8,0.01065246338
DefiantChair,635,8,0.0125984252
TanitoluwaAps116,552,8,0.01449275362
mbojan,550,8,0.01454545455
SaqoChess_Twitch,507,8,0.0157790927
RobertoJBM,440,8,0.01818181818
arminmusovic,395,8,0.02025316456
jacky72,371,8,0.02156334232
kingofthenil,335,8,0.02388059701
Sina_Movahed,311,8,0.02572347267
Orange_Ghost,228,8,0.0350877193
Twitch_ElhamBlitz05,137,8,0.05839416058
cthulhuuu,659,7,0.01062215478
vugarrasulov,442,7,0.01583710407
JimDiGrease,441,7,0.01587301587
Aradhya2000,409,7,0.01711491443
sofaceindisguise,326,7,0.02147239264
ShiroglanTalibov,238,7,0.02941176471
GHANDEEVAM2003,225,7,0.03111111111
Bilan_Danila,803,6,0.007471980075
dropstoneDP,674,6,0.008902077151
DvaHrasta,654,6,0.009174311927
Felix-Rose,603,6,0.009950248756
Msb2,587,6,0.01022146508
Shuvalov,575,6,0.01043478261
Manukyan_Artak,560,6,0.01071428571
artin10862,455,6,0.01318681319
Lennis93,447,6,0.01342281879
Njal28,398,6,0.01507537688
DenLaz,389,6,0.01542416452
Legendinunknown,382,6,0.01570680628
kikoveiga,367,6,0.01634877384
oskariot,363,6,0.01652892562
bascheyaro,357,6,0.01680672269
wqws,328,6,0.01829268293
vovachesss,316,6,0.01898734177
djano,872,5,0.005733944954
IngOscarArdila,652,5,0.007668711656
The_filthy,641,5,0.007800312012
mishanick,613,5,0.008156606852
esrosenberg,611,5,0.008183306056
infinitegiantkiller,576,5,0.008680555556
KorolDimitriy75,557,5,0.008976660682
CSB7,548,5,0.009124087591
Druid24,525,5,0.009523809524
Chessdreamer2020,475,5,0.01052631579
GianmarcoVaR,474,5,0.01054852321
ArtemDyachuk,436,5,0.01146788991
Sokoloco,404,5,0.01237623762
AradNazari,397,5,0.01259445844
rezamahdavi2008,396,5,0.01262626263
newyorkmouse,349,5,0.01432664756
KChor05,338,5,0.01479289941
DeTimmerman,305,5,0.01639344262
Angry_Twin,201,5,0.02487562189
WhiteKnight2612,165,5,0.0303030303
KononenkoD,147,5,0.03401360544
HansOnTwitch,98,5,0.05102040816
ural58,850,4,0.004705882353
WPWPWP-2015,788,4,0.005076142132
Byniolus,783,4,0.005108556833
HajiyevKanan,755,4,0.005298013245
AlexPapasimakopoulos,683,4,0.005856515373
Oleksandr_Bortnyk,674,4,0.005934718101
jaskol95,670,4,0.005970149254
Nf3c5,660,4,0.006060606061
rdarruda,641,4,0.00624024961
Lion-Al-Messi,622,4,0.006430868167
Kostukov_Alex,591,4,0.006768189509
rasmussvane,584,4,0.006849315068
Rutricks,571,4,0.00700525394
m_ezat,563,4,0.007104795737
Abund,558,4,0.007168458781
InitiatingASC,548,4,0.007299270073
BogdanDeac,511,4,0.00782778865
Aleksandar-Topalov,508,4,0.007874015748
koncheto,501,4,0.007984031936
Iball95,485,4,0.00824742268
AldokhinIvan,480,4,0.008333333333
MITerryble,477,4,0.008385744235
ErikRonka,470,4,0.008510638298
SirMittensofMittensville,428,4,0.009345794393
Slovak_fighter2000,413,4,0.009685230024
Russian_berezka,393,4,0.01017811705
frederiksvane,390,4,0.01025641026
Pingah9,371,4,0.01078167116
Mikasinski,368,4,0.01086956522
IgorBjelobrk,366,4,0.01092896175
Karttunen,359,4,0.01114206128
Makswolf200817,358,4,0.01117318436
Jojo_898,357,4,0.01120448179
GM_dmitrij,349,4,0.01146131805
Vesper2018,335,4,0.01194029851
Kostya0705,334,4,0.0119760479
BlueWizzard,319,4,0.01253918495
PLAYER_2006_M,319,4,0.01253918495
DTChess,306,4,0.01307189542
Bigfish1995,305,4,0.0131147541
crazy_but_lazy,284,4,0.01408450704
snowlord,281,4,0.01423487544
Bauman_Guy,277,4,0.01444043321
Eduard_Limonov,275,4,0.01454545455
Leonid_Starozhilov,275,4,0.01454545455
anon6121824,275,4,0.01454545455
